SALE TYPE,SOLD DATE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,MLS#
MLS Listing,,2950 SW 3rd Ave Unit 2F,Miami,FL,33129,219000,2,1,904,1974,87,242,Active,A10573224
PAST SALE,2018,126 SW 17th Rd #305,Miami,FL,33129,219000,2,1,616,1997,348,356,Sold,A10349828
MLS Listing,,3245 Virginia St #24,Miami,FL,33133,219000,2,1,664,1966,17,330,Active,A10606415
MLS Listing,,7326 Collins Ave #307,Miami Beach,FL,33141,219900,2,1,644,1940,10,341,Active,A10611392
MLS Listing,,1900 N Bayshore Dr #4205,Miami,FL,33132,220000,0,1,594,2008,8,370,Active,A10612089
PAST SALE,2017,2451 Brickell Ave Unit 4N,Miami,FL,33129,220000,1,1,1012,1963,712,217,Sold,A10180730
MLS Listing,,100 Edgewater Dr #103,Coral Gables,FL,33133,220000,1,1.5,888,1970,1,248,Active,A10617411
MLS Listing,,133 NE 2nd Ave #1903,Miami,FL,33132,220000,1,1,646,2007,4,341,Active,A10613252
MLS Listing,,929 Michigan Ave #4,Miami Beach,FL,33139,220000,1,1,650,1925,4,338,Active,A10615360
MLS Listing,,1560 Meridian Ave #109,Miami Beach,FL,33139,220000,1,1,433,1945,7,508,Active,A10612416
PAST SALE,2017,1200 14th St Unit 6B,Miami Beach,FL,33139,220000,1,1.5,795,1969,627,277,Sold,A10262361
PAST SALE,2017,126 SW 17th Rd #606,Miami,FL,33129,220000,2,1,616,1997,479,357,Sold,A10281591
MLS Listing,,7441 Wayne Ave Unit 4J,Miami Beach,FL,33141,220000,2,2,1105,1964,11,199,Active,A10610865
MLS Listing,,300 NE 76th St,Miami,FL,33138,220000,3,2,1300,1947,4,169,Active,A10614586
PAST SALE,2017,200 SE 15th Rd Unit 3F,Miami,FL,33129,220525,1,1,612,1974,748,360,Sold,A10140472
MLS Listing,,720 Collins Ave #206,Miami Beach,FL,33139,223000,1,1,720,1972,8,310,Active,A10612096
PAST SALE,2017,455 NE 25th St #603,Miami,FL,33137,223500,2,1.5,822,2004,621,272,Sold,A10238324
PAST SALE,2016,2950 SW 3rd Ave Unit 2G,Miami,FL,33129,223549,2,2,1020,1974,901,219,Sold,A10061392
MLS Listing,,1614 West Ave #303,Miami Beach,FL,33139,224000,1,1,667,1965,5,336,Active,H10614896
PAST SALE,2018,1980 Bay Dr #14,Miami Beach,FL,33141,224000,2,2,956,1945,316,234,Sold,A10391497
MLS Listing,,7601 E Treasure Dr #410,North Bay Village,FL,33141,224500,2,2,1030,1987,12,218,Active,A10610614
MLS Listing,,170 SE 14th St #1402,Miami,FL,33131,224900,1,1,630,2006,1,357,Active,A10617262
MLS Listing,,1035 Euclid Ave #26,Miami Beach,FL,33139,224900,1,1,412,2016,5,546,Active,RX-10501616
PAST SALE,2018,200 SE 15th Rd Unit 5E,Miami,FL,33129,225000,1,1.5,612,1974,361,368,Sold,A10331636
MLS Listing,,750 64 Unit B114,Miami,FL,33138,225000,1,1,741,1972,7,304,Active,A10606085
MLS Listing,,700 Biltmore Way #306,Coral Gables,FL,33134,225000,1,1,780,1963,20,288,Active,A10605745
MLS Listing,,3025 Indian Creek Dr #107,Miami Beach,FL,33140,225000,1,1,460,1935,4,489,Active,A10615403
MLS Listing,,900 Bay Dr #619,Miami Beach,FL,33141,225000,1,1.5,920,1963,6,245,Active,A10608536
MLS Listing,,1337 Euclid Ave #206,Miami Beach,FL,33139,225000,1,1,430,1926,8,523,Active,A10612123
PAST SALE,2017,536 14th St #205,Miami Beach,FL,33139,225000,1,1,580,1925,529,388,Sold,A10270477
MLS Listing,,115 SW 42nd Ave #408,Miami,FL,33134,225000,2,1,807,2006,14,279,Active,A10608769
PAST SALE,2018,2950 SW 3rd Ave Unit 4A,Miami,FL,33129,227500,2,2,1020,1974,180,223,Sold,A10479871
PAST SALE,2017,2001 Biscayne Blvd #2308,Miami,FL,33137,228000,1,1,707,2004,669,322,Sold,A10187913
MLS Listing,,1750 N Bayshore Dr #3707,Miami,FL,33132,229000,0,1,508,2008,8,451,Active,A10610271
MLS Listing,,1698 Jefferson Ave #36,Miami Beach,FL,33139,229000,1,1,646,1965,7,354,Active,A10608421
MLS Listing,,455 NE 25th #502,Miami,FL,33137,229000,2,2,833,2004,7,275,Active,A10606493
MLS Listing,,763 Pennsylvania Ave #211,Miami Beach,FL,33139,229900,1,1,577,1936,11,398,Active,A10610910
PAST SALE,2017,2400 SW 3rd Ave #205,Miami,FL,33129,230000,1,1,857,1996,469,268,Sold,A10303298
MLS Listing,,2600 SW 27th Ave #908,Miami,FL,33133,230000,1,1,655,2006,1,351,Active,A10616086
MLS Listing,,100 Edgewater Dr #234,Coral Gables,FL,33133,230000,1,1,744,1970,6,309,Active,A10613365
MLS Listing,,185 SE 14th Ter #1801,Miami,FL,33131,230000,1,1,640,1998,1,359,Active,A10614013
PAST SALE,2018,3 Island Ave Unit 3C,Miami Beach,FL,33139,230000,2,2,1332,1962,267,173,Sold,A10444696
MLS Listing,,2701 SW 3rd Ave #902,Miami,FL,33129,235000,1,1.5,695,2009,235,338,Active,A10490552
PAST SALE,2017,280 SW 20th Rd #802,Miami,FL,33129,235000,1,2,922,2005,616,255,Sold,A10220090
PAST SALE,2017,2400 SW 3rd Ave #204,Miami,FL,33129,235000,1,1,878,1996,721,268,Sold,A10160058
PAST SALE,2016,2451 Brickell Ave Unit 4R,Miami,FL,33129,235000,1,1,886,1963,1081,265,Sold,A10024212
MLS Listing,,333 NE 24th St #1404,Miami,FL,33137,235000,1,1,722,2008,8,325,Active,A10611838
PAST SALE,2018,2001 Biscayne Blvd #3603,Miami,FL,33137,235000,1,1,713,2004,257,330,Sold,A10355422
PAST SALE,2016,600 NE 36th St #515,Miami,FL,33137,235000,1,1.5,768,1973,1034,306,Sold,A10049299
PAST SALE,2017,950 Euclid Ave #210,Miami Beach,FL,33139,235000,1,1.5,730,1975,535,322,Sold,A10289187
PAST SALE,2016,1341 15th St #103,Miami Beach,FL,33139,235000,1,1,607,1951,796,387,Sold,A10157753
PAST SALE,2018,900 Euclid Ave #16,Miami Beach,FL,33139,235000,1,1,739,1965,113,318,Sold,A10186622
MLS Listing,,2950 SW 3rd Ave Unit 2B,Miami,FL,33129,235000,2,1,904,1974,69,260,Active,A10580959
PAST SALE,2016,50 Biscayne Blvd #611,Miami,FL,33132,235000,0,1,501,2007,992,469,Sold,A2164099
MLS Listing,,555 NE 15th St Unit 15F,Miami,FL,33132,235900,1,1.5,860,1980,1,274,Active,A10616570
MLS Listing,,3470 E Coast Ave Unit H1206,Miami,FL,33137,238000,1,1,588,2007,16,405,Active,A10607523
MLS Listing,,1500 Bay Rd Unit 756S,Miami Beach,FL,33139,239000,0,1,584,1960,8,409,Active,A10611989
MLS Listing,,2121 N Bayshore Dr #405,Miami,FL,33137,239000,1,1.5,831,1964,11,288,Active,A10610854
MLS Listing,,855 Euclid #101,Miami Beach,FL,33139,239000,1,1.5,731,1978,12,327,Active,A10610458
PAST SALE,2018,7501 E Treasure Dr Unit 6P,North Bay Village,FL,33141,239500,2,2,1145,1965,228,209,Sold,A10445411
MLS Listing,,1776 James Ave Unit 6B,Miami Beach,FL,33139,239900,1,1,800,1966,3,300,Active,A10615161
PAST SALE,2018,1200 Brickell Bay Dr #3512,Miami,FL,33131,239900,1,1,818,2005,76,293,Sold,A10558531
MLS Listing,,7933 West Dr #715,North Bay Village,FL,33141,239900,2,2,1000,1979,11,240,Active,A10611064
PAST SALE,2016,2451 Brickell Ave Unit 2K,Miami,FL,33129,240000,1,1,886,1963,864,271,Sold,A10116382
PAST SALE,2018,2021 SW 3rd Ave #701,Miami,FL,33129,240000,1,1,719,2007,290,334,Sold,A10377615
MLS Listing,,520 NE 29 #905,Miami,FL,33137,240000,1,1,719,2007,1,334,Active,A10617504
MLS Listing,,601 NE 23 St #701,Miami,FL,33137,240000,1,1,724,2012,15,331,Active,A10608139
PAST SALE,2016,133 NE 2 Ave #3008,Miami,FL,33132,240000,1,1,903,2007,987,266,Sold,A10071076
PAST SALE,2017,4916 Washington Dr,Coral Gables,FL,33133,240000,2,1,552,1929,608,435,Sold,A10229915
PAST SALE,2017,150 SE 25th Rd Unit 9D,Miami,FL,33129,241000,1,1.5,800,1969,467,301,Sold,A10295790
PAST SALE,2018,911 Meridian Ave #101,Miami Beach,FL,33139,242500,1,1,715,1956,376,339,Sold,A10357514
MLS Listing,,1918 Brickell Ave #505,Miami,FL,33129,242900,1,1.5,540,1999,131,450,Active,A10548335
PAST SALE,2017,2445 Lake Pancoast Dr #9,Miami Beach,FL,33140,242900,1,2,800,1956,463,304,Sold,A10012456
MLS Listing,,1790 S Treasure Dr Unit 2A,North Bay Village,FL,33141,242900,2,2,1325,1973,1,183,Active,A10615353
MLS Listing,,1020 Meridian Ave #309,Miami Beach,FL,33139,243800,1,1.5,890,1969,5,274,Active,A10614339
MLS Listing,,2950 SW 3rd Ave Unit 9-F,Miami,FL,33129,244000,2,1,904,1974,214,270,Active,F10131701
PAST SALE,2016,50 Biscayne Blvd #5309,Miami,FL,33132,244999,0,1,567,2007,862,432,Sold,A10097759
MLS Listing,,1500 Bay Rd Unit 1410S,Miami Beach,FL,33139,245000,0,1,472,1960,4,519,Active,A10615273
MLS Listing,,195 Sunrise Dr #9,Key Biscayne,FL,33149,245000,1,1,689,1965,176,356,Active,A10524240
MLS Listing,,185 SE 14th Ter #2201,Miami,FL,33131,245000,1,1,640,1998,11,383,Active,A10611297
PAST SALE,2017,2001 Biscayne Blvd #3408,Miami,FL,33137,246000,1,1,794,2004,743,310,Sold,A10184304
PAST SALE,2018,150 SE 25th Rd Unit 4D,Miami,FL,33129,248000,1,1.5,804,1969,229,308,Sold,F10107226
